#,Company,Website,Category,General Contact Email,Email Type,HR Person Name,HR Person Title,HR Person Direct Email,LinkedIn Profile,Priority,Notes
285,Senseforth.ai,senseforth.ai,Conversational AI / NLP / Chatbots,contact@senseforth.ai,contact,Shridhar Marri,Co-Founder & CEO,shridhar@senseforth.ai,https://in.linkedin.com/in/shridharmarri,High,"Girinagar Bangalore; enterprise conversational AI (banks, insurance); Co-founders: Krishna Kadiri, Ritesh Radhakrishnan (CTO); email pattern estimated"
286,CoRover.ai,corover.ai,Conversational AI / BharatGPT / Sovereign LLM,contact@corover.ai,contact,Ankush Sabharwal,Founder & CEO,ankush@corover.ai,https://in.linkedin.com/in/ankushsabharwal,High,"Bangalore; built BharatGPT (India's first LLM GenAI); 1B+ users served (IRCTC bot); 50,000+ enterprises; Series A (Canbank VC); Co-founders: Manav Gandotra, Kunal Bhakhri; email pattern estimated"
287,Springworks,springworks.in,HR Tech / Background Verification / SaaS,kartik@springworks.in,contact,Kartik Mandaville,Founder & CEO,kartik@springworks.in,https://www.linkedin.com/in/kartik-mandaville-springworks/,High,"Bengaluru + Santa Monica; remote-first ALWAYS HIRING (springworks.springrecruit.com); products: SpringVerify, SpringRecruit, EngageWith, Trivia; CMU grad; email pattern estimated"
288,HackerEarth,hackerearth.com,Developer Assessment / Hiring Tech / SaaS,support@hackerearth.com,contact,Vikas Aditya,CEO,support@hackerearth.com,https://www.linkedin.com/in/vikasaditya/,High,"Bengaluru; developer skill assessment + coding interviews; founded by IIT Roorkee alumni (Sachin Gupta, Vivek Prakash); 7M+ developer community"
289,Clootrack,clootrack.com,CX Analytics / AI Insights / SaaS,shameel@clootrack.com,contact,Shameel Abdulla,Co-Founder & CEO,shameel@clootrack.com,https://www.linkedin.com/in/shameelabdulla/,High,Bangalore; $4M raised (Inventus + Salesforce Ventures); AI customer experience analytics; serial entrepreneur; Co-founder: Subbakrishna Rao (CTO); email pattern estimated
290,Salesken,salesken.ai,Sales AI / Conversational Intelligence / SaaS,surga@salesken.ai,contact,Surga Thilakan,Co-Founder & CEO,surga@salesken.ai,https://in.linkedin.com/in/surga-thilakan-0196994,High,✅ DIRECT CEO EMAIL — Bengaluru; Series B; $41M raised over 11 rounds (Microsoft M12 + Sequoia); in-call live sales intelligence; ex-Goldman Sachs; IIM-A MBA; Co-founder: Sreeraman Vaidyanathan; Ph: +91 80416 49503
291,Smallcase,smallcase.com,WealthTech / Investment Platform / Fintech,vasanth@smallcase.com,contact,Vasanth Kamath,Founder & CEO,vasanth@smallcase.com,https://in.linkedin.com/in/vasanthskamath,High,"Richmond Road Bangalore; 367 employees; changing how India invests; IIT-KGP founders; Co-founders: Anugrah Shrivastava, Rohan Gupta; Blume + Sequoia backed; email pattern estimated"
292,BOSC Tech Labs,bosctechlabs.com,Mobile / Web App Development,hr@bosctechlabs.com,careers,HR Team,HR,hr@bosctechlabs.com,https://in.linkedin.com/company/bosc-tech-labs,High,✅ DIRECT HR EMAIL — Sargasan Gandhinagar; 5 OPEN JOBS on Indeed; Flutter/React specialists; also info@ + contact@bosctechlabs.com; founded 2017
293,Samcom Technologies,samcomtechnologies.com,AI Voice / Chat / Workflow Automation,ketan@samcomtechnologies.com,contact,Ketan Jadhav,Founder & CEO,ketan@samcomtechnologies.com,https://theorg.com/org/samcom-technologies/org-chart/ketan-jadhav,High,Motera Ahmedabad (Gandhinagar border); AI voice/chat/workflow automation; 20+ yrs experience; founded 2013; ZoomInfo confirmed k***@samcomtechnologies.com
294,Evolvision Technologies,evolvision.com,Web / Software Development,business@evolvision.com,contact,Jimit Joshi,Founder & CEO,business@evolvision.com,https://in.linkedin.com/in/jimitjoshi,High,✅ PHONE: +91-9510645454 — Pramukh Arcade-2 Kudasan Gandhinagar; partners: Jimit Joshi + Sandip Patel
295,Unity Infoway,unityinfoway.com,Web / Mobile Development,info@unityinfoway.com,contact,Rahul Gondaliya,Founder,info@unityinfoway.com,https://in.linkedin.com/company/unity-infoway,High,"Radhe Infinity, Rakshashakti Circle, Kudasan Gandhinagar; serving since 2011; email estimated"
296,Setu,setu.co,Fintech API Infrastructure / Open Banking,hello@setu.co,contact,Anand Raisinghani,CEO,hello@setu.co,https://in.linkedin.com/company/setu-co,High,"Infantry Road Bangalore; fintech infra APIs (payments, data, lending); acquired by Pine Labs; founded by Sahil Kini + Nikhil Kumar (2018); strong intern program reputation"
297,Hyperface,hyperface.co,Credit Cards-as-a-Service / Fintech,ramanathan@hyperface.co,contact,Ramanathan RV,Co-Founder & CEO,ramanathan@hyperface.co,https://in.linkedin.com/in/ramanathanrv,High,Koramangala Bangalore; credit card program platform; CEO is ex-Juspay CTO + built India's first UPI app BHIM; Co-founder: Aishwarya Jaishankar (ex-HSBC); email pattern estimated
298,Docsumo,docsumo.com,Document AI / OCR / Agentic Processing,careers@docsumo.com,careers,Rushabh Sheth,Co-Founder & CEO,rushabh@docsumo.com,https://www.linkedin.com/in/rushabhasheth/,High,Bangalore + Mumbai + NYC offices; agentic document processing; IIT Bombay + IIM Bangalore CEO; Co-founder: Bikram Dahal (CTO); Ph: +91 9892632246; email pattern estimated
299,Testsigma,testsigma.com,Test Automation / Open Source / AI,support@testsigma.com,contact,Rukmangada Kandyala,Founder & CEO,rukmangada@testsigma.com,https://www.linkedin.com/in/rukmangada-kandyala/,High,Ejipura Bangalore; $4.6M (Accel + STRIVE); open source test automation; HIRING in Bengaluru; first-gen college grad founder; email pattern estimated
300,Stylumia,stylumia.ai,Fashion AI / Trend Forecasting / Analytics,ganesh.subramanian@stylumia.com,contact,Ganesh Subramanian,Founder & CEO,ganesh.subramanian@stylumia.com,https://in.linkedin.com/in/gansubra,High,🎉 COMPANY #300 — Indiranagar Bangalore; AI predictive analytics for fashion; ex-Myntra COO; email format First.Last@stylumia.com confirmed
301,Increff,increff.com,Retail SaaS / Inventory AI / Supply Chain,rajul@increff.com,contact,Rajul Jain,Co-Founder & CEO,rajul@increff.com,https://www.linkedin.com/in/rajul-jain-increff/,High,"Bellandur Bangalore; AI retail SaaS for 700+ global brands; ZoomInfo confirmed r***@increff.com; Co-founders: Romil Jain, Anshuman Agarwal, Vishal Raj"
302,Bytes Technolab,bytestechnolab.com,Web / Mobile / Product Engineering,info@bytestechnolab.com,contact,Mitul Patel,CEO,info@bytestechnolab.com,https://www.linkedin.com/company/bytes-technolab,High,"Ahmedabad; 100-250 employees; ACTIVELY HIRING (PHP Lead, BDM, Graphic Designer); Director: Bhavesh Surani"
303,Moweb Technologies,moweb.com,Web / Mobile App Development,contact@moweb.com,contact,Jainam Shah,Founder & CEO,contact@moweb.com,https://in.linkedin.com/in/mowebtech,High,✅ PHONE: +91 98255 55989 — Ahmedabad; 69 employees; web/mobile dev
304,Excellent Webworld,excellentwebworld.com,Web / Mobile / IoT Development,sales@excellentwebworld.com,contact,Paresh Sagar,Founder & CEO,sales@excellentwebworld.com,https://in.linkedin.com/in/pareshsagar,High,✅ PHONE: +91 99047 78418 — Ahmedabad; 224 employees; founded 2011; CEO phone numbers found via ContactOut
305,Powerplay,getpowerplay.in,Construction Tech / SaaS / Project Mgmt,iesh@getpowerplay.in,contact,Iesh Dixit,Co-Founder & CEO,iesh@getpowerplay.in,https://in.linkedin.com/in/ieshdixit,High,"Bengaluru; Series A; construction project management SaaS; Co-founders: Manish Prasad, Shubham Goyal; email pattern estimated"
306,Brick&Bolt,bricknbolt.com,Construction Tech / Marketplace,jayesh@bricknbolt.com,contact,Jayesh Rajpurohit,Co-Founder & CEO,jayesh@bricknbolt.com,https://in.linkedin.com/in/jaybnb,High,Koramangala Bangalore; tech-enabled construction company; ACTIVELY HIRING (per co-founder LinkedIn); Co-founder: Arpit Rajpurohit; email pattern estimated
307,Zetwerk,zetwerk.com,Manufacturing / B2B Marketplace / AI,amrit@zetwerk.com,contact,Amrit Acharya,Co-Founder & CEO,amrit@zetwerk.com,https://in.linkedin.com/in/amritacharya,High,"Bellandur Bangalore; manufacturing unicorn; RocketReach confirmed a***@zetwerk.com; jobs at zetwerk.skillate.com; Co-founders: Vishal Chaudhary, Rahul Sharma; IIT Madras"
308,TatvaSoft,tatvasoft.com,Software Development / Enterprise,info@tatvasoft.com,contact,Manish Patel,Founder & CEO,info@tatvasoft.com,https://www.crunchbase.com/person/manish-patel-154d,High,"✅ PHONE: +91 96014 21472 — Ahmedabad; 1,212 employees; founded 2001; HR Manager: Itesh Sharma; Co-founder: Parth Barot"
309,Third Rock Techkno,thirdrocktechkno.com,AI Software Development / Web / Mobile,hr@thirdrocktechkno.com,careers,Krunal Shah,Co-Founder & CEO,krunal@thirdrocktechkno.com,https://www.linkedin.com/in/krunalhshah/,High,"CG Road Ahmedabad; AI-enabled software dev; HR Sr Executive: Varun Kotaria (ZoomInfo v***@thirdrocktechkno.com); hiring via Instahyre + careers page; Co-founders: Tapan Patel, Nishant"
310,AllianceTek,alliancetek.com,Software / AI / Digital Transformation,hello@alliancetek.com,contact,Sunil Jagani,"Founder, President & CTO",hello@alliancetek.com,https://www.linkedin.com/company/alliancetek,High,✅ DIRECT EMAIL — Sola Ahmedabad office (+US HQ); founded 2004; AI + digital transformation
311,WeblineIndia,weblineindia.com,Offshore Software Development,info@weblineindia.com,contact,Atul Mehta,Co-Founder & CEO,info@weblineindia.com,https://in.linkedin.com/company/weblineindia,High,Mithakhali Ahmedabad; offshore software dev; careers page accepts open applications; Co-founder: Vipul M (CTO)
312,Atomicwork,atomicwork.com,AI ITSM / Enterprise Service Mgmt,vijay@atomicwork.com,contact,Vijay Rayapati,Co-Founder & CEO,vijay@atomicwork.com,https://www.linkedin.com/in/amnigos/,High,"Bengaluru + SF + Singapore; Khosla Ventures-backed AI alternative to ServiceNow; Co-founders: Kiran Darisi (ex-Freshworks founding team), Parsuram Vijayasankar; email pattern estimated"
313,DevRev,devrev.ai,AI CRM / Support Platform / DevTools,dheeraj.pandey@devrev.ai,contact,Dheeraj Pandey,Co-Founder & CEO,dheeraj.pandey@devrev.ai,https://www.linkedin.com/in/dpandey/,High,"✅ DIRECT CEO EMAIL — large Bengaluru office (Adarsh Palm Retreat, Bellandur); founded by ex-Nutanix CEO; Adobe board member; Co-founder: Manoj Agarwal"
314,Log9 Materials,log9materials.com,Climate DeepTech / EV Batteries / Nanotech,contact@log9materials.com,contact,Akshay Singhal,Founder & CEO,akshay@log9materials.com,https://in.linkedin.com/in/akshay-singhal-log9,High,Bangalore; Forbes 30U30 Asia; aluminium fuel cells + rapid charging EV batteries; IIT Roorkee PhD; Co-founder: Karthik Hajela (COO); email pattern estimated
315,String Bio,stringbio.com,Industrial Biotech / Methane-to-Protein,info@stringbio.com,contact,Ezhil Subbian,Co-Founder & CEO,ezhil@stringbio.com,https://in.linkedin.com/in/ezhilsubbian,High,Bangalore; methane → value-added products; UN/NITI Aayog Women Transforming India Award; 20 yrs biobased product dev; email pattern estimated
316,Zignuts Technolab,zignuts.com,Web / Mobile / AI Development,info@zignuts.com,contact,Sagar Bhayani,Co-Founder,sagar@zignuts.com,https://in.linkedin.com/in/sagarbhayani,High,"Sargasan GANDHINAGAR (Siddharaj Zori, 4th Floor); founded 2012; co-founder: Gunjan Kalariya; email pattern estimated"
317,Inexture Solutions,inexture.com,Python / Java / Mobile Development,info@inexture.com,contact,Vishal Shah,Co-Founder & CEO,vishal@inexture.com,https://in.linkedin.com/in/co-founder-inexture,High,Ahmedabad; Python/Django + Java specialists; operating since 2014; email pattern estimated
318,Aglowid IT Solutions,aglowiditsolutions.com,Web / Mobile / AI Development,info@aglowiditsolutions.com,contact,Ronak Patel,CEO,ronak@aglowiditsolutions.com,https://www.linkedin.com/in/ronak-patel-aglowid/,High,Ahmedabad; web/mobile/AI dev; CTO: Saurabh Barot; email pattern estimated
319,eSparkBiz,esparkinfo.com,AI Software Development / Web,sales@esparkinfo.com,contact,Harikrishna Kundariya,Co-Founder & Director,harikrishna@esparkinfo.com,https://in.linkedin.com/in/henry-kundariya,High,"Science City Ahmedabad (City Centre-2, 10th floor); founded 2010; CURRENTLY HIRING; email format name@esparkinfo.com confirmed"
